Actual Price ($),Predicted Price ($),Absolute Error ($),Accuracy (%)
"$295,000","$261,289","$33,711",88.57
"$219,900","$244,248","$24,348",88.93
"$250,000","$327,305","$77,305",69.08
"$239,900","$216,190","$23,710",90.12
"$239,999","$268,315","$28,316",88.2
"$830,000","$699,754","$130,246",84.31
"$219,990","$187,482","$32,508",85.22
"$648,000","$567,756","$80,244",87.62
"$255,700","$368,296","$112,596",55.97
"$325,000","$334,388","$9,388",97.11
"$250,000","$435,903","$185,903",25.64
"$485,000","$475,138","$9,862",97.97
"$975,000","$780,177","$194,823",80.02
"$625,000","$520,764","$104,236",83.32
"$285,000","$339,497","$54,497",80.88
"$450,000","$422,793","$27,207",93.95
"$584,900","$600,291","$15,391",97.37
"$205,000","$237,911","$32,911",83.95
"$199,000","$203,341","$4,341",97.82
"$282,226","$268,607","$13,619",95.17
"$180,000","$212,475","$32,475",81.96
"$750,000","$626,579","$123,421",83.54
"$475,000","$416,148","$58,852",87.61
"$293,300","$335,128","$41,828",85.74
"$415,000","$478,726","$63,726",84.64
"$175,000","$226,771","$51,771",70.42
"$179,900","$209,711","$29,811",83.43
"$519,900","$444,838","$75,062",85.56
"$725,000","$668,871","$56,129",92.26
"$310,000","$291,549","$18,451",94.05
"$155,000","$223,617","$68,617",55.73
"$214,500","$243,582","$29,082",86.44
"$937,000","$769,710","$167,290",82.15
"$625,000","$480,660","$144,340",76.91
"$385,000","$370,943","$14,057",96.35
"$459,990","$438,728","$21,262",95.38
"$229,900","$225,635","$4,265",98.14
"$609,900","$636,594","$26,694",95.62
"$769,000","$763,567","$5,433",99.29
"$342,000","$372,895","$30,895",90.97
"$279,900","$438,283","$158,383",43.41
"$413,900","$418,360","$4,460",98.92
"$279,000","$301,368","$22,368",91.98
"$305,000","$315,398","$10,398",96.59
"$525,000","$693,205","$168,205",67.96
"$714,900","$626,333","$88,567",87.61
"$330,000","$339,385","$9,385",97.16
"$1,050,000","$1,021,613","$28,387",97.3
"$157,000","$210,993","$53,993",65.61
"$399,000","$417,041","$18,041",95.48
"$574,887","$591,748","$16,861",97.07
"$1,200,000","$557,393","$642,607",46.45
"$249,000","$256,769","$7,769",96.88
"$869,999","$669,621","$200,378",76.97
"$1,499,000","$1,193,228","$305,772",79.6
"$557,000","$766,722","$209,722",62.35
"$200,000","$224,500","$24,500",87.75
"$217,500","$242,708","$25,208",88.41
"$865,000","$564,002","$300,998",65.2
"$565,000","$608,911","$43,911",92.23
"$899,900","$957,905","$58,005",93.55
"$549,500","$526,122","$23,378",95.75
"$480,000","$466,286","$13,714",97.14
"$550,000","$538,692","$11,308",97.94
"$1,295,000","$1,104,354","$190,646",85.28
"$254,990","$264,027","$9,037",96.46
"$689,000","$627,055","$61,945",91.01
"$457,000","$493,333","$36,333",92.05
"$289,500","$333,111","$43,611",84.94
"$215,000","$213,209","$1,791",99.17
"$325,000","$333,008","$8,008",97.54
"$309,900","$359,786","$49,886",83.9
"$479,900","$560,363","$80,463",83.23
"$619,900","$609,622","$10,278",98.34
"$320,000","$324,645","$4,645",98.55
"$609,995","$605,720","$4,275",99.3
"$475,000","$438,234","$36,766",92.26
"$175,000","$214,098","$39,098",77.66
"$379,950","$593,675","$213,725",43.75
"$221,000","$207,668","$13,332",93.97
"$650,000","$621,959","$28,041",95.69
"$219,900","$261,169","$41,269",81.23
"$959,000","$829,478","$129,522",86.49
"$765,000","$620,868","$144,132",81.16
"$289,900","$288,180","$1,720",99.41
"$550,000","$611,450","$61,450",88.83
"$1,350,000","$1,066,372","$283,628",78.99
"$299,990","$274,266","$25,724",91.43
"$194,973","$218,505","$23,532",87.93
"$365,000","$397,128","$32,128",91.2
"$300,000","$330,047","$30,047",89.98
"$399,500","$602,042","$202,542",49.3
"$289,000","$335,057","$46,057",84.06
"$649,500","$679,476","$29,976",95.38
"$214,900","$203,722","$11,178",94.8
"$475,000","$472,852","$2,148",99.55
"$340,000","$312,777","$27,223",91.99
"$525,000","$560,751","$35,751",93.19
"$452,000","$390,920","$61,080",86.49
"$429,900","$372,137","$57,763",86.56
"$249,087","$397,976","$148,889",40.23
"$409,000","$433,074","$24,074",94.11
"$278,000","$277,084",$916,99.67
"$1,249,000","$958,311","$290,689",76.73
"$310,990","$333,307","$22,317",92.82
"$1,295,000","$886,017","$408,983",68.42
"$305,000","$294,647","$10,353",96.61
"$315,000","$321,529","$6,529",97.93
"$127,926","$215,516","$87,590",31.53
"$755,000","$610,074","$144,926",80.8
"$385,990","$426,166","$40,176",89.59
"$750,000","$572,420","$177,580",76.32
"$847,000","$831,039","$15,961",98.12
"$525,000","$474,079","$50,921",90.3
"$695,000","$582,801","$112,199",83.86
"$1,300,000","$848,626","$451,374",65.28
"$1,275,000","$874,664","$400,336",68.6
"$219,500","$203,841","$15,659",92.87
"$350,000","$321,767","$28,233",91.93
